:IngredientName,IngredientType,Unit,Recipe
:Names,,"S1_AirProfile","Profile"
"S1_AP_283",Analog,"S1_AP_283",0.005263209343
"S1_AP_284",Analog,"S1_AP_284",0.006756305695
"S1_AP_285",Analog,"S1_AP_285",0.007742166519
"S1_AP_286",Analog,"S1_AP_286",0.008317112923
"S1_AP_287",Analog,"S1_AP_287",0.006961584091
"S1_AP_288",Analog,"S1_AP_288",0.009373784065
"S1_AP_289",Analog,"S1_AP_289",0.008077740669
"S1_AP_290",Analog,"S1_AP_290",0.01034402847
"S1_AP_291",Analog,"S1_AP_291",0.005581498146
"S1_AP_292",Analog,"S1_AP_292",0.001979112625
"S1_AP_293",Analog,"S1_AP_293",0.002350449562
"S1_AP_294",Analog,"S1_AP_294",0.002907514572
"S1_AP_295",Analog,"S1_AP_295",0.003934621811
"S1_AP_296",Analog,"S1_AP_296",0.004042267799
"S1_AP_297",Analog,"S1_AP_297",0.0052921772
"S1_AP_298",Analog,"S1_AP_298",0.003983020782
"S1_AP_299",Analog,"S1_AP_299",0.002955675125
"S1_AP_300",Analog,"S1_AP_300",0.004619598389
"S1_AP_301",Analog,"S1_AP_301",0.003015041351
"S1_AP_302",Analog,"S1_AP_302",0.001570701599
"S1_AP_303",Analog,"S1_AP_303",0.003418326378
"S1_AP_304",Analog,"S1_AP_304",0.004568338394
"S1_AP_305",Analog,"S1_AP_305",0.004067182541
"S1_AP_306",Analog,"S1_AP_306",0.003839969635
"S1_AP_307",Analog,"S1_AP_307",0.004175066948
"S1_AP_308",Analog,"S1_AP_308",0.002701282501
"S1_AP_309",Analog,"S1_AP_309",0.001789808273
"S1_AP_310",Analog,"S1_AP_310",0.002559185028
"S1_AP_311",Analog,"S1_AP_311",0.002885103226
"S1_AP_312",Analog,"S1_AP_312",0.006311297417
"S1_AP_313",Analog,"S1_AP_313",0.00685095787
"S1_AP_314",Analog,"S1_AP_314",0.009082436562
"S1_AP_315",Analog,"S1_AP_315",0.01115334034
"S1_AP_316",Analog,"S1_AP_316",0.006058573723
"S1_AP_317",Analog,"S1_AP_317",0.006826996803
"S1_AP_318",Analog,"S1_AP_318",0.007311463356
"S1_AP_319",Analog,"S1_AP_319",0.004998445511
"S1_AP_320",Analog,"S1_AP_320",0.005623340607
"S1_AP_321",Analog,"S1_AP_321",0.005016565323
"S1_AP_322",Analog,"S1_AP_322",0.007625222206
"S1_AP_323",Analog,"S1_AP_323",0.007525682449
"S1_AP_324",Analog,"S1_AP_324",0.004741191864
"S1_AP_325",Analog,"S1_AP_325",0.006200432777
"S1_AP_326",Analog,"S1_AP_326",0.007334709167
"S1_AP_327",Analog,"S1_AP_327",0.008422970772
"S1_AP_328",Analog,"S1_AP_328",0.006307840347
"S1_AP_329",Analog,"S1_AP_329",0.007778406143
"S1_AP_330",Analog,"S1_AP_330",0.009591579437
"S1_AP_331",Analog,"S1_AP_331",0.008122324944
"S1_AP_332",Analog,"S1_AP_332",0.007991313934
"S1_AP_333",Analog,"S1_AP_333",0.003519415855
"S1_AP_334",Analog,"S1_AP_334",0.004320263863
"S1_AP_335",Analog,"S1_AP_335",0.002968430519
"S1_AP_336",Analog,"S1_AP_336",0.001583456993
"S1_AP_337",Analog,"S1_AP_337",0.003289699554
"S1_AP_338",Analog,"S1_AP_338",0.005575060844
"S1_AP_339",Analog,"S1_AP_339",0.004791378975
"S1_AP_340",Analog,"S1_AP_340",0.002858638763
"S1_AP_341",Analog,"S1_AP_341",0.001648187637
"S1_AP_342",Analog,"S1_AP_342",0.001132965088
"S1_AP_343",Analog,"S1_AP_343",0.00298511982
"S1_AP_344",Analog,"S1_AP_344",0.0007197856903
"S1_AP_345",Analog,"S1_AP_345",0.002684235573
"S1_AP_346",Analog,"S1_AP_346",0.004940748215
"S1_AP_347",Analog,"S1_AP_347",0.008046746254
"S1_AP_348",Analog,"S1_AP_348",0.008130788803
"S1_AP_349",Analog,"S1_AP_349",0.00632584095
